gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgChargePerMonth,TenureBucket,MonthlyChargesBucket,churn_probability,risk_bucket,risk_decile,recommended_action
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,19.672115384615385,49-60,0-25,0.03312182788888762,Low,2,No action
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,103.97535211267606,61+,100+,0.10842608313858944,Low,3,No action
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,52.835,7-12,51-75,0.34534334899282637,Low,5,No action
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,88.70952380952382,13-24,76-100,0.7842675407709941,High,9,Target retention offer
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,39.65,0-6,26-50,0.8750860018803714,High,10,Target retention offer
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,16.854166666666668,7-12,0-25,0.1578381903118935,Low,3,No action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,20.15,0-6,0-25,0.39015520146043603,Low,6,No action
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,60.432758620689654,49-60,51-75,0.04740635894696605,Low,2,No action
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,60.61836734693878,49-60,51-75,0.08057303256140219,Low,3,No action
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,51.019999999999996,25-36,51-75,0.2696982916780556,Low,4,No action
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,101.04574468085106,37-48,76-100,0.7354218611360103,High,8,Target retention offer
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,30.2,0-6,26-50,0.7054594287588882,High,8,Target retention offer
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,88.46458333333334,61+,76-100,0.045495150988195676,Low,2,No action
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,64.3,13-24,51-75,0.5990628362694519,Medium,7,Watchlist / proactive support
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,95.30915492957746,61+,76-100,0.07544348896404326,Low,2,No action
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,90.825,0-6,76-100,0.8801726992510548,High,10,Target retention offer
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,69.42407407407407,25-36,51-75,0.08049262580384076,Low,2,No action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,20.2,0-6,0-25,0.3775982352971281,Low,5,No action
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,45.25,0-6,26-50,0.6173033007624834,Medium,7,Watchlist / proactive support
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,100.71805555555555,61+,76-100,0.05368242622301822,Low,2,No action
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,63.379999999999995,0-6,51-75,0.8481127489951247,High,10,Target retention offer
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,77.13695652173914,37-48,51-75,0.5017023236194461,Medium,6,Watchlist / proactive support
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,104.38970588235294,25-36,100+,0.8165559233092212,High,9,Target retention offer
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,100.4909090909091,7-12,76-100,0.8655400232736534,High,10,Target retention offer
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,47.57,7-12,26-50,0.26113596869716355,Low,4,No action
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,69.605,61+,51-75,0.03426542349215312,Low,2,No action
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,24.602941176470587,13-24,0-25,0.10983654650763094,Low,3,No action
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,77.16587301587302,61+,76-100,0.03822954464135995,Low,2,No action
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,75.49615384615385,13-24,76-100,0.5426291582618219,Medium,7,Watchlist / proactive support
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,79.72857142857143,49-60,76-100,0.706428817560837,High,8,Target retention offer
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,48.5,0-6,26-50,0.5499489147204599,Medium,7,Watchlist / proactive support
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,72.075,0-6,76-100,0.8793783845759873,High,10,Target retention offer
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,81.11153846153846,49-60,76-100,0.0864218031933753,Low,3,No action
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,61.6536231884058,61+,51-75,0.020289325763041318,Low,1,No action
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,89.27325581395348,37-48,76-100,0.7476182279668214,High,8,Target retention offer
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,95.09333333333333,13-24,76-100,0.7186025167647291,High,8,Target retention offer
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,70.10600000000001,25-36,51-75,0.432441643596678,Medium,6,Watchlist / proactive support
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,79.1625,7-12,76-100,0.8072678948740388,High,9,Target retention offer
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,74.27250000000001,49-60,51-75,0.06175521894159244,Low,2,No action
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,97.36388888888888,13-24,76-100,0.9043718879247981,High,10,Target retention offer
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,100.17777777777778,61+,76-100,0.30422950018613354,Low,5,No action
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,107.21742424242424,61+,100+,0.4162989106181894,Medium,6,Watchlist / proactive support
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,26.302941176470586,25-36,0-25,0.03563439220536297,Low,2,No action
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,109.07916666666667,61+,100+,0.18654781093082737,Low,4,No action
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,100.15106382978725,37-48,100+,0.7860373804309467,High,9,Target retention offer
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,90.845,49-60,76-100,0.5301498468865169,Medium,7,Watchlist / proactive support
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,41.138888888888886,61+,26-50,0.019078560763098117,Low,1,No action
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,53.172222222222224,13-24,51-75,0.21450198285561853,Low,4,No action
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,95.25,7-12,76-100,0.878826251979608,High,10,Target retention offer
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,81.36666666666666,0-6,76-100,0.7145329857032222,High,8,Target retention offer
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,77.66702127659575,37-48,76-100,0.4607706642069103,Medium,6,Watchlist / proactive support
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,80.55483870967741,25-36,76-100,0.11240350707299741,Low,3,No action
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,18.618,49-60,0-25,0.01380580019870294,Low,1,No action
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,88.735,7-12,76-100,0.6859011545606752,Medium,8,Watchlist / proactive support
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,49.05,0-6,26-50,0.5123217596575512,Medium,6,Watchlist / proactive support
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,20.974038461538463,49-60,0-25,0.05306860963927024,Low,2,No action
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,110.921875,61+,100+,0.15588160698293999,Low,3,No action
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,22.97741935483871,61+,0-25,0.016316022421379226,Low,1,No action
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,59.13333333333333,0-6,51-75,0.45348611799162997,Medium,6,Watchlist / proactive support
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,109.63392857142857,49-60,100+,0.41554505831317506,Medium,6,Watchlist / proactive support
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,58.45326086956521,37-48,51-75,0.14944615314940185,Low,3,No action
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,60.28125,7-12,51-75,0.33728858022609554,Low,5,No action
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,70.37666666666668,25-36,51-75,0.5453966794850689,Medium,7,Watchlist / proactive support
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,27.035555555555554,37-48,26-50,0.06239419753154686,Low,2,No action
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,79.35,0-6,76-100,0.8604240762668932,High,10,Target retention offer
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,51.39545454545455,7-12,51-75,0.6640134042476864,Medium,8,Watchlist / proactive support
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,70.98571428571428,7-12,76-100,0.7671347759940869,High,9,Target retention offer
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,103.03571428571429,37-48,100+,0.5788688288193529,Medium,7,Watchlist / proactive support
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,19.864285714285714,49-60,0-25,0.025379079615133,Low,1,No action
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,102.08333333333333,7-12,76-100,0.8579043298648665,High,10,Target retention offer
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,63.29857142857142,25-36,51-75,0.18878248303505357,Low,4,No action
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,22.020833333333332,37-48,0-25,0.015348554209064297,Low,1,No action
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,20.15434782608696,37-48,0-25,0.02431223771014351,Low,1,No action
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,34.80172413793103,25-36,26-50,0.5189349655541902,Medium,7,Watchlist / proactive support
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,85.67333333333333,25-36,76-100,0.45431957858107724,Medium,6,Watchlist / proactive support
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,74.7,0-6,51-75,0.7883462793397272,High,9,Target retention offer
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,86.57954545454545,61+,76-100,0.05288567631089437,Low,2,No action
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,109.33846153846154,61+,100+,0.4856871536995923,Medium,6,Watchlist / proactive support
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,103.59791666666666,61+,100+,0.23501840332452778,Low,4,No action
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,77.27916666666667,7-12,76-100,0.788558707839462,High,9,Target retention offer
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,66.8830985915493,61+,51-75,0.035737241676164655,Low,2,No action
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,22.77,0-6,0-25,0.34691132527559226,Low,5,No action
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,21.292307692307695,49-60,0-25,0.01629454696550582,Low,1,No action
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,100.58,25-36,76-100,0.8406756526696669,High,10,Target retention offer
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,20.2,0-6,0-25,0.38989036025232926,Low,5,No action
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,19.45,0-6,0-25,0.4191303491568945,Medium,6,Watchlist / proactive support
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,94.88421052631578,37-48,76-100,0.36529536273932156,Low,5,No action
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,45.86742424242424,61+,26-50,0.10576852682374818,Low,3,No action
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,111.93897058823529,61+,100+,0.19888520583736782,Low,4,No action
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,20.04,0-6,0-25,0.6792779495647311,Medium,8,Watchlist / proactive support
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,101.43125,61+,100+,0.3122804690907107,Low,5,No action
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,28.9890625,25-36,26-50,0.1772006406543483,Low,4,No action
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,91.19302325581396,37-48,76-100,0.4992406715349481,Medium,6,Watchlist / proactive support
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,18.93402777777778,61+,0-25,0.005763469079015308,Low,1,No action
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,95.25272727272727,49-60,76-100,0.5645985347449283,Medium,7,Watchlist / proactive support
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,58.50480769230769,49-60,51-75,0.04939712159857217,Low,2,No action
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,91.95581395348837,37-48,76-100,0.6554083990869516,Medium,8,Watchlist / proactive support
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,77.51756756756757,37-48,76-100,0.7502970838871726,High,8,Target retention offer
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,53.4921875,61+,51-75,0.08588166070065657,Low,3,No action
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,82.8,0-6,76-100,0.705801733206524,High,8,Target retention offer
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,31.287499999999998,25-36,26-50,0.0781329214820465,Low,2,No action
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,106.465,7-12,100+,0.8399492226028598,High,10,Target retention offer
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,20.36951219512195,37-48,0-25,0.026086161448781554,Low,1,No action
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,79.68888888888888,25-36,76-100,0.5427343138364689,Medium,7,Watchlist / proactive support
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,98.49017857142857,49-60,76-100,0.42689978726241806,Medium,6,Watchlist / proactive support
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,18.791666666666668,0-6,0-25,0.3310523096768317,Low,5,No action
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,76.51666666666667,0-6,51-75,0.8845080569138337,High,10,Target retention offer
Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0,50.050000000000004,7-12,51-75,0.37385447670901883,Low,5,No action
Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,0,15.725,0-6,0-25,0.30241406547050664,Low,5,No action
Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,0,91.7469696969697,25-36,76-100,0.26709282534788664,Low,4,No action
Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,79.0925925925926,25-36,76-100,0.8056060583455373,High,9,Target retention offer
Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,23.94375,61+,0-25,0.014001182950255498,Low,1,No action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,0,19.75,0-6,0-25,0.39227625133182725,Low,6,No action
